DATE,NASDAQCOM
7/7/2011,2872.66
7/8/2011,2859.81
7/11/2011,2802.62
7/12/2011,2781.91
7/13/2011,2796.92
7/14/2011,2762.67
7/15/2011,2789.8
7/18/2011,2765.11
7/19/2011,2826.52
7/20/2011,2814.23
7/21/2011,2834.43
7/22/2011,2858.83
7/25/2011,2842.8
7/26/2011,2839.96
7/27/2011,2764.79
7/28/2011,2766.25
7/29/2011,2756.38
8/1/2011,2744.61
8/2/2011,2669.24
8/3/2011,2693.07
8/4/2011,2556.39
8/5/2011,2532.41
8/8/2011,2357.69
8/9/2011,2482.52
8/10/2011,2381.05
8/11/2011,2492.68
8/12/2011,2507.98
8/15/2011,2555.2
8/16/2011,2523.45
8/17/2011,2511.48
8/18/2011,2380.43
8/19/2011,2341.84
8/22/2011,2345.38
8/23/2011,2446.06
8/24/2011,2467.69
8/25/2011,2419.63
8/26/2011,2479.85
8/29/2011,2562.11
8/30/2011,2576.11
8/31/2011,2579.46
9/1/2011,2546.04
9/2/2011,2480.33
9/5/2011,.
9/6/2011,2473.83
9/7/2011,2548.94
9/8/2011,2529.14
9/9/2011,2467.99
9/12/2011,2495.09
9/13/2011,2532.15
9/14/2011,2572.55
9/15/2011,2607.07
9/16/2011,2622.31
9/19/2011,2612.83
9/20/2011,2590.24
9/21/2011,2538.19
9/22/2011,2455.67
9/23/2011,2483.23
9/26/2011,2516.69
9/27/2011,2546.83
9/28/2011,2491.58
9/29/2011,2480.76
9/30/2011,2415.4
10/3/2011,2335.83
10/4/2011,2404.82
10/5/2011,2460.51
10/6/2011,2506.82
10/7/2011,2479.35
10/10/2011,2566.05
10/11/2011,2583.03
10/12/2011,2604.73
10/13/2011,2620.24
10/14/2011,2667.85
10/17/2011,2614.92
10/18/2011,2657.43
10/19/2011,2604.04
10/20/2011,2598.62
10/21/2011,2637.46
10/24/2011,2699.44
10/25/2011,2638.42
10/26/2011,2650.67
10/27/2011,2738.63
10/28/2011,2737.15
10/31/2011,2684.41
11/1/2011,2606.96
11/2/2011,2639.98
11/3/2011,2697.97
11/4/2011,2686.15
11/7/2011,2695.25
11/8/2011,2727.49
11/9/2011,2621.65
11/10/2011,2625.15
11/11/2011,2678.75
11/14/2011,2657.22
11/15/2011,2686.2
11/16/2011,2639.61
11/17/2011,2587.99
11/18/2011,2572.5
11/21/2011,2523.14
11/22/2011,2521.28
11/23/2011,2460.08
11/24/2011,.
11/25/2011,2441.51
11/28/2011,2527.34
11/29/2011,2515.51
11/30/2011,2620.34
12/1/2011,2626.2
12/2/2011,2626.93
12/5/2011,2655.76
12/6/2011,2649.56
12/7/2011,2649.21
12/8/2011,2596.38
12/9/2011,2646.85
12/12/2011,2612.26
12/13/2011,2579.27
12/14/2011,2539.31
12/15/2011,2541.01
12/16/2011,2555.33
12/19/2011,2523.14
12/20/2011,2603.73
12/21/2011,2577.97
12/22/2011,2599.45
12/23/2011,2618.64
12/26/2011,.
12/27/2011,2625.2
12/28/2011,2589.98
12/29/2011,2613.74
12/30/2011,2605.15
1/2/2012,.
1/3/2012,2648.72
1/4/2012,2648.36
1/5/2012,2669.86
1/6/2012,2674.22
1/9/2012,2676.56
1/10/2012,2702.5
1/11/2012,2710.76
1/12/2012,2724.7
1/13/2012,2710.67
1/16/2012,.
1/17/2012,2728.08
1/18/2012,2769.71
1/19/2012,2788.33
1/20/2012,2786.7
1/23/2012,2784.17
1/24/2012,2786.64
1/25/2012,2818.31
1/26/2012,2805.28
1/27/2012,2816.55
1/30/2012,2811.94
1/31/2012,2813.84
2/1/2012,2848.27
2/2/2012,2859.68
2/3/2012,2905.66
2/6/2012,2901.99
2/7/2012,2904.08
2/8/2012,2915.86
2/9/2012,2927.23
2/10/2012,2903.88
2/13/2012,2931.39
2/14/2012,2931.83
2/15/2012,2915.83
2/16/2012,2959.85
2/17/2012,2951.78
2/20/2012,.
2/21/2012,2948.57
2/22/2012,2933.17
2/23/2012,2956.98
2/24/2012,2963.75
2/27/2012,2966.16
2/28/2012,2986.76
2/29/2012,2966.89
3/1/2012,2988.97
3/2/2012,2976.19
3/5/2012,2950.48
3/6/2012,2910.32
3/7/2012,2935.69
3/8/2012,2970.42
3/9/2012,2988.34
3/12/2012,2983.66
3/13/2012,3039.88
3/14/2012,3040.73
3/15/2012,3056.37
3/16/2012,3055.26
3/19/2012,3078.32
3/20/2012,3074.15
3/21/2012,3075.32
3/22/2012,3063.32
3/23/2012,3067.92
3/26/2012,3122.57
3/27/2012,3120.35
3/28/2012,3104.96
3/29/2012,3095.36
3/30/2012,3091.57
4/2/2012,3119.7
4/3/2012,3113.57
4/4/2012,3068.09
4/5/2012,3080.5
4/6/2012,.
4/9/2012,3047.08
4/10/2012,2991.22
4/11/2012,3016.46
4/12/2012,3055.55
4/13/2012,3011.33
4/16/2012,2988.4
4/17/2012,3042.82
4/18/2012,3031.45
4/19/2012,3007.56
4/20/2012,3000.45
4/23/2012,2970.45
4/24/2012,2961.6
4/25/2012,3029.63
4/26/2012,3050.61
4/27/2012,3069.2
4/30/2012,3046.36
5/1/2012,3050.44
5/2/2012,3059.85
5/3/2012,3024.3
5/4/2012,2956.34
5/7/2012,2957.76
5/8/2012,2946.27
5/9/2012,2934.71
5/10/2012,2933.64
5/11/2012,2933.82
5/14/2012,2902.58
5/15/2012,2893.76
5/16/2012,2874.04
5/17/2012,2813.69
5/18/2012,2778.79
5/21/2012,2847.21
5/22/2012,2839.08
5/23/2012,2850.12
5/24/2012,2839.38
5/25/2012,2837.53
5/28/2012,.
5/29/2012,2870.99
5/30/2012,2837.36
5/31/2012,2827.34
6/1/2012,2747.48
6/4/2012,2760.01
6/5/2012,2778.11
6/6/2012,2844.72
6/7/2012,2831.02
6/8/2012,2858.42
